Baseline,JET SDG,SDG Push,Year
11.39,11.39,11.39,2019
11.4,11.4,11.4,2020
11.27,11.27,11.27,2021
11.28,11.28,11.28,2022
11.29,11.29,11.29,2023
11.33,11.33,11.33,2024
11.36,11.25,11.36,2025
11.39,11.17,11.39,2026
11.42,11.11,11.42,2027
11.48,11.1,11.49,2028
11.53,11.1,11.57,2029
11.59,11.12,11.64,2030
11.64,11.15,11.72,2031
11.69,11.18,11.79,2032
11.73,11.23,11.87,2033
11.78,11.28,11.95,2034
11.83,11.32,12.03,2035
11.87,11.37,12.12,2036
11.92,11.31,12.2,2037
11.97,11.24,12.29,2038
12.02,11.17,12.38,2039
12.07,11.15,12.48,2040
12.12,11.12,12.58,2041
12.18,11.09,12.68,2042
12.24,11.07,12.79,2043
12.31,11.04,12.9,2044
12.37,11.01,13.01,2045
12.44,10.97,13.13,2046
12.5,11.11,13.25,2047
12.57,11.26,13.37,2048
12.64,11.4,13.49,2049
12.7,11.54,13.62,2050
12.77,11.67,13.74,2051
12.84,11.8,13.87,2052
12.91,11.92,14,2053
12.98,12.03,14.14,2054
13.06,12.15,14.29,2055
13.14,12.2,14.44,2056
13.23,12.25,14.6,2057
13.32,12.31,14.76,2058
13.41,12.37,14.93,2059
13.51,12.41,15.11,2060
13.61,12.45,15.29,2061
13.72,12.5,15.49,2062
13.84,12.55,15.69,2063
13.95,12.61,15.89,2064
14.07,12.68,16.1,2065
14.19,12.75,16.32,2066
14.32,12.82,16.54,2067
14.45,12.89,16.78,2068
14.59,12.96,17.03,2069
14.73,13.06,17.28,2070
14.88,13.15,17.54,2071
15.04,13.22,17.81,2072
15.2,13.3,18.08,2073
15.36,13.38,18.36,2074
15.53,13.45,18.65,2075
15.7,13.53,18.94,2076
15.87,13.6,19.24,2077
16.05,13.67,19.54,2078
16.24,13.74,19.85,2079
16.43,13.82,20.16,2080
16.63,13.89,20.49,2081
16.83,13.96,20.82,2082
17.05,14.03,21.17,2083
17.27,14.11,21.52,2084
17.5,14.2,21.88,2085
17.74,14.29,22.25,2086
17.99,14.38,22.62,2087
18.23,14.47,23.01,2088
18.49,14.57,23.41,2089
18.74,14.67,23.81,2090
19.01,14.77,24.22,2091
19.28,14.98,24.64,2092
19.56,15.2,25.06,2093
19.85,15.41,25.5,2094
20.14,15.63,25.95,2095
20.44,15.85,26.41,2096
20.74,16.06,26.88,2097
21.05,16.27,27.36,2098
21.37,16.44,27.85,2099
21.67,16.55,28.32,2100